#name network latitude longitude useless depth
STA_-10_-150 A -10 -150 0 0
STA_-10_-140 A -10 -140 0 0
STA_-10_-130 A -10 -130 0 0
STA_-10_-120 A -10 -120 0 0
STA_-10_-110 A -10 -110 0 0
STA_-10_-100 A -10 -100 0 0
STA_-10_-90 A -10 -90 0 0
STA_-10_-80 A -10 -80 0 0
STA_-10_-70 A -10 -70 0 0
STA_-10_-60 A -10 -60 0 0
STA_-10_-50 A -10 -50 0 0
STA_-10_-40 A -10 -40 0 0
STA_-10_-30 A -10 -30 0 0
STA_-10_-20 A -10 -20 0 0
STA_-10_-10 A -10 -10 0 0
STA_-10_0 A -10 0 0 0
STA_-10_10 A -10 10 0 0
STA_-10_20 A -10 20 0 0
STA_-10_30 A -10 30 0 0
STA_-10_40 A -10 40 0 0
STA_-10_50 A -10 50 0 0
STA_-10_60 A -10 60 0 0
STA_-10_70 A -10 70 0 0
STA_-10_80 A -10 80 0 0
STA_-10_90 A -10 90 0 0
STA_-10_100 A -10 100 0 0
STA_-10_110 A -10 110 0 0
STA_-10_120 A -10 120 0 0
STA_-10_130 A -10 130 0 0
STA_-10_140 A -10 140 0 0
STA_-10_150 A -10 150 0 0
STA_-10_160 A -10 160 0 0
STA_-10_170 A -10 170 0 0
STA_-10_180 A -10 180 0 0
STA_0_-180 A 0 -180 0 0
STA_0_-170 A 0 -170 0 0
STA_0_-160 A 0 -160 0 0
STA_0_-150 A 0 -150 0 0
STA_0_-140 A 0 -140 0 0
STA_0_-130 A 0 -130 0 0
STA_0_-120 A 0 -120 0 0
STA_0_-110 A 0 -110 0 0
STA_0_-100 A 0 -100 0 0
STA_0_-90 A 0 -90 0 0
STA_0_-80 A 0 -80 0 0
STA_0_-70 A 0 -70 0 0
STA_0_-60 A 0 -60 0 0
STA_0_-50 A 0 -50 0 0
STA_0_-40 A 0 -40 0 0
STA_0_-30 A 0 -30 0 0
STA_0_-20 A 0 -20 0 0
STA_0_-10 A 0 -10 0 0
STA_0_0 A 0 0 0 0
